TEAM,2014,2015,2016,2017,2018,2019,2020,2021
ARI,0.688,0.813,0.469,0.5,0.188,0.344,0.5,0.647
ATL,0.375,0.5,0.688,0.625,0.438,0.438,0.25,0.412
BAL,0.625,0.313,0.5,0.563,0.625,0.875,0.688,0.471
BUF,0.563,0.5,0.438,0.563,0.375,0.625,0.813,0.647
CAR,0.469,0.938,0.375,0.688,0.438,0.313,0.313,0.294
CHI,0.313,0.375,0.188,0.313,0.75,0.5,0.5,0.353
CIN,0.656,0.750,0.406,0.438,0.375,0.125,0.281,0.588
CLE,0.438,0.188,0.063,0,0.469,0.375,0.688,0.471
DAL,0.750,0.25,0.813,0.563,0.625,0.5,0.375,0.706
DEN,0.75,0.75,0.563,0.313,0.375,0.438,0.313,0.412
DET,0.688,0.438,0.563,0.563,0.375,0.219,0.313,0.206
GB,0.75,0.625,0.625,0.438,0.406,0.813,0.813,0.765
HOU,0.563,0.563,0.563,0.25,0.688,0.625,0.25,0.235
IND,0.688,0.5,0.5,0.25,0.625,0.438,0.688,0.529
JAX,0.188,0.313,0.188,0.625,0.313,0.375,0.063,0.176
KC,0.563,0.688,0.75,0.625,0.75,0.75,0.875,0.706
LV,0.188,0.438,0.75,0.375,0.25,0.438,0.5,0.588
LAC,0.563,0.25,0.313,0.563,0.75,0.313,0.438,0.529
LAR,0.375,0.438,0.25,0.688,0.813,0.563,0.625,0.706
MIA,0.5,0.375,0.625,0.375,0.438,0.313,0.625,0.529
MIN,0.438,0.688,0.5,0.813,0.531,0.625,0.438,0.471
NE,0.75,0.75,0.875,0.813,0.688,0.75,0.438,0.588
NO,0.438,0.438,0.438,0.688,0.813,0.813,0.75,0.529
NYG,0.375,0.375,0.688,0.188,0.313,0.25,0.375,0.235
NYJ,0.25,0.625,0.313,0.313,0.25,0.438,0.125,0.235
PHI,0.625,0.438,0.438,0.813,0.563,0.563,0.281,0.529
PIT,0.688,0.625,0.688,0.813,0.594,0.5,0.75,0.559
SF,0.5,0.313,0.125,0.375,0.25,0.813,0.375,0.588
SEA,0.75,0.625,0.656,0.563,0.625,0.688,0.75,0.412
TB,0.125,0.375,0.563,0.313,0.313,0.438,0.688,0.765
TEN,0.125,0.188,0.563,0.563,0.563,0.563,0.688,0.706
WAS,0.25,0.563,0.531,0.438,0.438,0.188,0.438,0.412